RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
224,-1.070196171,-1.048083813,-0.265962146,1.30528218,-0.919022649,-1.293127396,-0.870248308,-0.831392468,-0.85713932,-0.88231617,-0.788660971,-0.832463486,-0.893682751,0.086684421
225,-3.067788142,-1.327580259,1.173749564,1.964719991,-1.600484129,-0.403597922,-2.05664612,-2.084841659,-2.111364609,-2.126585606,-1.156997098,-1.964491339,-2.297405867,-0.538101959
226,-2.245780761,-0.895227632,0.119213581,1.98928099,-2.506080781,-1.577868384,-2.647667024,-2.742572742,-2.577610408,-2.718273137,-1.819795348,-2.227971624,-3.056072066,-1.434725422
227,-2.610375988,-0.855929213,0.361122726,1.712501512,-0.246617135,-0.139150633,-2.175636283,-2.210423056,-1.93740956,-1.798334645,-1.668470984,-1.842579851,-1.858972615,-0.64953825
228,-0.782878872,-1.438321291,-0.014658471,1.465875498,-0.579423904,-0.56700805,0.118274739,0.167822562,0.01965785,-0.205490951,-0.317440449,-0.240962769,0.034366087,-0.273062433
229,-2.072645844,-1.108424195,-0.183760009,1.81878854,-0.92128664,-0.419307869,-2.196551469,-2.450299518,-1.896156418,-2.091095161,-1.680253119,-2.049457275,-1.982503577,-0.857097492
230,-1.957888176,1.324085473,4.699046917,1.290886223,1.041594103,0.821678391,-3.210455785,-3.445988888,-2.995551583,-3.043832231,-2.763522992,-2.960352663,-3.549240291,-2.000053374
231,-2.680517224,-1.270794507,-0.618257018,1.968232533,-1.367292991,-0.350128296,-1.436228686,-1.282800879,-1.468067873,-1.224771875,-1.432547759,-1.378920383,-1.241525806,-0.499257706
232,-0.269607644,0.953235611,0.121562213,1.113911988,0.319380773,1.335862538,0.280737247,0.268410291,0.27428131,0.210003336,0.408296599,0.011425502,0.368405317,0.583126362
233,-0.074085616,-0.749856698,1.530741701,-0.715014499,0.081661652,-0.885775536,0.108143461,0.129942634,-0.0361949,-0.373808163,-0.517177416,-0.410265814,-0.046955427,-0.848871296
234,0.313393123,-0.352771092,0.264828794,-0.855345178,0.609171701,0.220582597,-0.041445095,-0.156021787,0.001413863,-0.215063757,-0.092587985,-0.374513826,-0.062979993,-0.249219779
235,0.218938642,-0.604693772,0.072240931,-0.883429184,-0.056441838,-0.222329414,0.034909298,0.154499076,-0.040231172,-0.102410978,-0.234045891,-0.158716456,-0.025765626,-0.724858642
236,-0.204089458,-1.174775266,1.286483923,-0.869241909,0.60690771,-0.450392436,-0.018560395,0.036631463,-0.132475348,-0.413985927,-0.651265919,-0.571724863,-0.139649298,-0.757621168
237,-1.36002738,0.613384843,0.45037076,-0.927862504,0.78802704,-0.32529026,0.343654903,0.776210152,-0.122376957,0.229825239,-0.282683929,-0.145537565,0.470271273,0.758827507
238,0.707965285,-0.926375908,-0.583027531,-1.056707437,0.686147417,-0.598024951,0.610425789,0.500987751,0.661217633,0.392225215,0.609089302,0.364169713,0.441656881,0.232684255
239,1.235807356,1.263466348,-0.082768813,-0.611473998,1.034802128,2.353914255,1.263670487,1.179352339,1.377162465,1.567855845,2.084834248,1.493207392,1.017083518,1.308599481
240,0.666942861,-0.404653856,0.001781957,-0.959188063,0.514084053,0.449071842,0.784416801,0.795847238,0.784693444,0.760507064,0.812302358,0.634598412,0.731623066,0.262666386
241,-0.280667343,0.054728173,1.216024949,-1.081843642,0.615963676,0.196522873,-0.37179811,-0.618344903,-0.224086347,-0.628484891,-0.41756033,-0.891858713,-0.639311025,-0.635203114
242,0.197499216,-0.0000178,1.490814949,-1.04448008,0.588795777,-0.019246308,-0.139904593,-0.398286198,-0.062152619,-0.73436173,-0.818400691,-0.825433989,-0.490259746,-1.241116141
243,0.32291793,-0.099539703,-1.052754027,-0.815285027,0.016005894,-0.047612769,0.886288339,-0.050666624,1.116620376,0.102313307,-0.110618945,0.020759304,0.189078543,0.110909066
244,0.766218205,-0.255245586,-0.707505052,-0.550297468,0.088453626,-0.493870222,0.83745405,0.284667809,1.014358117,0.396682071,0.618134043,0.37830956,0.557328239,0.339926423
245,-0.361180214,0.738116158,-0.684018728,-0.927862504,0.326172748,1.448514711,0.298845809,-0.283493033,0.478988645,-0.368071446,-0.280223007,-0.281163085,-0.254660269,0.434542561
246,1.211718813,-0.725464618,-0.96115736,-0.733918227,-1.034486222,-1.116325081,0.845550964,0.309751519,1.018914733,0.417948784,0.167046281,0.250590698,0.512916068,-0.164667871
